Report ID	Author	Publication Date	Title	Abstract	Publication	Keywords (from Bibliographic databases - unsorted)	Study	Study Context Comments	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Sample Size: Certified	Sample size: Non-certified	Treatment Arms	Statistical Power	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices	Notes Aqua	Notes
3447	"Loconto, A. M.; Simbua, E. F."	2010	Organizing smallholder production for sustainability: lessons learned from fairtrade certification in the Tanzanian tea industry	The objective of this paper is to examine the different ways that smallholders are brought into Fairtrade certification schemes in the Tanzanian tea industry. We examine the different ownership relations of processing factories and the perceived benefits of these different arrangements. We are looking to explore the challenges and opportunities provided by each of these different ownership relations and the possibilities for sustainability. Specifically we ask: (1) Which type of ownership arrangement is more likely to engage in Fairtrade certification? (2) Do perceived benefits from Fairtrade certification increase with the percentage of ownership shares? and (3) What aspects of these organizational relations have resulted in more sustainable relationships between growers and processors? We use descriptive qualitative analysis to identify the significance between factory ownership organization and scheme success. This also allows us to discuss participants' perceptions of the benefits of each scheme. We find that there is a movement towards innovation in the organizational strategies for linking growers to tea processing factories in Tanzania. This innovation includes new ownership arrangements of processing factories and outgrower contracts that have been associated with certified Fairtrade production. We also suggest that organizational innovation is significant for obtaining scheme success yet perceived benefits of and increased information about Fairtrade production is independent from ownership shares in processing.	"Proceedings of a symposium on Innovation and Sustainable Development in Agriculture and Food, Montpellier, France, 28 June to 1st July 2010   16 pp. "	certification crop production factories food proce	"Loconto &  Simbua, 2010"	N/A	Tanzania	"6.3690, 34.8888"	Tea	Tea	Fair Trade; Rainforest Alliance	Companies; Smallholders; Co-operatives	Companies; Smallholders; Co-operatives	Producer; Processor	Interviews (freeform)	N/A	Pre-post	N/A	N/A 	Control / FT	N/A	Data Reported	No Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	Data Reported 	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
3450	"Kiefer, Lukas; Menzel, Friederike; Bahrs, Enno"	2014	The effect of feed demand on greenhouse gas emissions and farm profitability for organic and conventional dairy farms	"The reduction of product-related greenhouse gas (GHG) emissions in milk production appears to be necessary. The reduction of emissions on an individual farm might be highly accepted by farm owners if it were accompanied by an increase in profitability. Using life cycle assessments to determine the product carbon footprints (PCF) and farm-level evaluations to record profitability, we explored opportunities for optimization based on analysis of 81 organic and conventional pasture-based dairy farms in southern Germany. The objective of the present study was to detect common determining factors for low PCF and high management incomes (MI) to achieve GHG reductions at the lowest possible operational cost. In our sample, organic farms, which performed economically better than conventional farms, produced PCF that were significantly higher than those produced by conventional farms [1.61 0.29 vs. 1.45 0.28 kg of CO2 equivalents (CO(2)eq) per kg of milk; means SD)]. A multiple linear regression analysis of the sample demonstrated that low feed demand per kilogram of milk, high grassland yield, and low forage area requirements per cow are the main factors that decrease PCF. These factors are also useful for improving a farm's profitability in principle. For organic farms, a reduction of feed demand of 100 g/kg of milk resulted in a PCF reduction of 105 g of CO(2)eq/ kg of milk and an increase in MI of approximately 2.1 euro cents (c)/kg of milk. For conventional farms, a decrease of feed demand of 100 g/kg of milk corresponded to a reduction in PCF of 117 g of CO(2)eq/kg of milk and an increase in MI of approximately 3.1 c/kg of milk. Accordingly, farmers could achieve higher profits while reducing GHG emissions. Improved education and training of farmers and consultants regarding GHG mitigation and farm profitability appear to be the best methods of improving efficiency under traditional and organic farming practices."	Journal of Dairy Science 97  7564-7574 		"Kiefer et al, 2014"	N/A	Germany 	"52.5200, 13.4050"	Other	Dairy	Organic	Farms	Farms	Producer	Field experiments	N/A	Matched	N/A	N/A	Control / Organic 	Multiple linear regression 	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	Increase in carbon footprint noted.
3498	"Selden, R. L.; Valencia, S. R.; Larsen, A. E.; Cornejo-Donoso, J.; Wasserman, A. A."	2016	Evaluating seafood eco-labeling as a mechanism to reduce collateral impacts of fisheries in an ecosystem-based fisheries management context	"By considering not only target species catch but also bycatch of non-target species and habitat damage, ecosystem-based fisheries management (EBFM) has the potential to minimize the environmental impact of fisheries. Defining and benchmarking EBFM strategies for these incidental environmental impacts has been challenging, and this lack of consensus has, in part, resulted in a proliferation of eco-labeling schemes with variable and vague criteria for environmental targets. The performance of fisheries certified by the Marine Stewardship Council (MSC), the most prominent eco-labeling certifier, was compared to non-certified fisheries and evaluated against target reference points for a suite of metrics derived from the EBFM literature. Specifically we compared marine mammal bycatch, finfish discard rates, and gear impacts between MSC-certified fisheries and non-certified fisheries. Discards of non-target finfish and bycatch rates of marine mammals were no different between certified and non-certified U.S. fisheries. Observer coverage was no higher in certified fisheries, and many fisheries failed to meet the coverage level thought adequate to document bycatch of protected species. MSC-certified fisheries did have lower average gear destructiveness scores than non-certified stocks when weighted by landings but not when weighted by the number of fisheries. Our analysis indicates that MSC-certified fisheries perform better on some ecosystem-based sustainability metrics but are indistinguishable from non-certified stocks on others, and improvement is needed for all certified fisheries to meet quantitative goals for the collateral impacts of fishing. Â© 2015 Elsevier Ltd."	Marine Policy 64  102-115 DOI:10.1016/j.marpol.2015.11.010	Collateral impacts Eco-label Ecosystem-based manag	"Seldon et al., 2015"	Comparison of MSC and Non-MSC certified fisheries in terms of by-catch.	USA	"38.9072,-77.0369"	Fishing	Fish	Marine Stewardship Council (MSC)	Fisheries	Fisheries	Producer	Government data	National reports and fisheries data	Matched	29	42	Control / MSC	t-tests; medians; Chi-squared	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"Marine mammal bycatch (no change), finfish discard (no change), gear damage (lower depending on if done by landings not no. of fisheries). Also discusses observer coverage? (no change)"	"MSC-certified fisheries per-form better on some ecosystem-based sustainability metrics but are indistinguishable from non-certified stock on others, and improvement is needed for all certified fisheries to meet quantitative goals for the collateral impacts of fishing. Science/indicator relevance."
3562	"Satoshi, Nakamura; Takahiro, Tsuge; Satoru, Okubo; Kazuhiko, Takeuchi; Nisikawa, Usio"	2014	"Exploring Factors Affecting Farmers' Implementation of Wildlife-Friendly Farming on Sado Island, Japan"		Journal of Resources and Ecology 5 4 370-380 DOI:10.5814/j.issn.1674-764x.2014.04.013		"Satoshi, 2014"	N/A	Japan	"38.018400, 138.368100"	Rice	Rice	Toki Brand Rice Certification Initiative	Co-operatives; Farms; houesholds	Households	Producer	Online surveys ; Questionnaire	N/A	Matched	589	1642	Control / Toki Brand Rice Certification Initiative	N/A	Data Reported	No Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
3823	"Rijn, Fedes van; Judge, Lucas; Fort, Ricardo; Koster, Tinka; Waarts, Yuca; Ruben, Ruerd"	2016	Fairtrade certification in the banana hired labour sector		Fairtrade certification in the banana hired labour sector    		"Rjin, 2016"	"This study was carried out by LEI Wageningen UR and was commissioned by Fairtrade International and the Fairtrade Foundation (project number 2015-056) LEI Wageningen UR
Wageningen, February 2016"	Colombia; Dominican Republic; Ghana	"4.570900, -74.297300 ; 18.735700, -70.162700 ; 7.946500, -1.023200"		Banana	Fair Trade; Rainforest Alliance	Pantations	Individual wageworkers	Producer	Mixed methods	"Field Experiments, Interviews (freeform), Household Surveys "	Matched	652	"1,137"	Control / FT	N/A	Data Reported	Data Reported	No Data Reported	N/A	N/A	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
3926	"Montano, J.; Nawata, E.; Panichsakpatana, S."	2016	"Do GAP farmers do better than non-GAP farmers?: Pesticide management practices of horticultural farmers in Damnoen Saduak, Thailand"	"In order to provide better and safer agricultural food products, the Thai government has introduced a public standard of good agricultural practices (GAP) which has been implemented since 2004. Using data obtained from interviews with farmers applying intensive horticultural systems in Damnoen Saduak District (Ratchaburi Province) we determined whether those who followed the GAP program could gain access to foreign markets to sell their produce and whether their practices were better in terms of improving food security and worker safety through adequate synthetic pesticide use compared to non-GAP farmers. The results showed that the GAP program has been beneficial for the farmers, by focusing its efforts on certification which is a necessary requirement for export access. However, pesticide management practices did not differ between GAP and non-GAP farmers. We argue that inadequate implementation of the standard in the region is due to a lack of sufficient governmental resources necessary to train farmers and to control on-farm activities that may lead to a decrease in synthetic pesticide use."	Tropical Agriculture and Development 60  43109 	certification coconuts cowpeas cucumbers farmers'	"Montano, 2016"	N/A	Thailand	"13.517100, 99.953700"	Mixed Farming	Mixed vegetables; Tree crops and fruits	N/A	Smallholders	Farms	Producer	Mixed methods	"Interview, Surveys"	Matched	31	55	Control / GAP	N/A	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	None
4144	"Foster, B. C.; Wang, D.; Keeton, W. S."	2008	"An exploratory, post-harvest comparison of ecological and economic characteristics of forest stewardship council certified and uncertified Northern hardwood stands"	"As more forest entities worldwide consider pursuing Forest Stewardship Council (FSC) certification, a critical question remains on whether stand-level management impacts differ between certified and uncertified forests. To begin to answer this question, we measured forest structure on three FSC-certified stands, three uncertified stands, and six adjacent unharvested reference stands (12 stands total) composed primarily of sugar maple (Acer saccharum) on non-industrial private properties in central Vermont, USA. The certified and uncertified partial harvests reduced total tree biomass and live tree carbon storage by one-third compared to reconstructed pre-harvest conditions. Both treatments also contained significantly lower densities of saplings and some mid-size trees compared to non-harvested references due to similar impacts from harvesting. The net present value of merchantable sugar maple over 10 year projections was consistently lower on certified than uncertified stands, but this difference was insignificant at discount rates from 4-8%. The certified stands contained significantly greater total residual volumes of coarse woody debris (standing and downed) than uncertified stands, although the debris was smaller than that found in unmanaged mature forests. Overall, our data suggest that FSC-certified harvested stands in northern hardwood forests have similar sugar maple timber value, aboveground live tree carbon storage value, similar live tree structure, and greater residual coarse woody debris than uncertified harvested stands. Â© 2008 by The Haworth Press. All rights reserved."	Journal of Sustainable Forestry 26  171-191 DOI:10.1080/10549810701879701	Forest certification Forest Stewardship Council (F	"Foster, 2008"	N/A	USA	"44.558800, -72.577800"	Timber	Sugar Maple (Acer saccharum)	Forest Stewardship Council (FSC)	Smallholders	Privatly owned forest stands	Producer	Field experiments	N/A	Matched	3	3	Control / FSC	N/A	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"Has a wild population compared also but this information is not relevant to this study. Certified stands had far greater Coarse dead wood , possibly high biodiversity."
4701	"Sverdrup-Thygeson, A.; Borg, P.; Bergsaker, E."	2008	A comparison of biodiversity values in boreal forest regeneration areas before and after forest certification	"In this study, 236 regeneration areas (mostly clear-cuts) in southern Norway were selected by random stratified selection: 118 of the study units were cut before and 118 after the introduction of forest certification in 1998. The degree of compliance with biodiversity measures established in the prevailing certification standard (ISO 14001 and the Norwegian standard ""Living Forests"") was compared in a field study, and the differences were analysed. In some aspects, a clear difference could be seen, most clearly in an increasing number of green retention trees and an increasing mean width of buffer-strips left along rivers, bogs and lakes in the postcertification units compared with the precertification units. Even though there was a significant increase in the mean number of retention trees, as much as 21% of the postcertification regeneration areas still did not have sufficient retention trees to comply with the certification standard and 41% had either too few retention trees or too few spruce trees according to the standard. Concerning the management of small swamp forests, and the damage done to terrain and prelogging coarse dead wood by off-road transport, little improvement was seen. The discussion examines whether it is probable that the changes seen are a result of forest certification in Norway. Â© 2008 Taylor & Francis."	Scandinavian Journal of Forest Research 23  236-243 DOI:10.1080/02827580802158228	"""Living Forest"" Biodiversity Forest certification"	"Sverdrup-Thygeson, 2008"	N/A	Norway	"59.391400, 8.321100"	Forest Resource	Biodiversity	Living Forest Standards ; ISO 14001	Smallholders	Individual forest stands	Producer	Mixed methods	"Field experiments, Goverment Data"	Pre-post	49	N/A	N/A	Wilcoxon rank sum non-parametric test; Chi squared; Shapiro-Wilks W test	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	Study looked at the impacts of FSC and SFI in  North America. 
5333	"Oosterveer, P.; Adjei, B. E.; Vellema, S.; Slingerland, M."	2014	Global sustainability standards and food security: Exploring unintended effects of voluntary certification in palm oil	"Voluntary labelling and certification schemes have become increasingly used in global agro-food chains. They primarily aim at enhancing the sustainability of agricultural production processes. The global palm oil supply, the different environmental and social problems related to it, and the Roundtable for Sustainable Palm Oil (RSPO) certification clearly illustrate this. However, global sustainability standards may also have unintended impacts on food security and local development, which are not explicitly taken into account. This article explores the unnoticed effects of voluntary palm oil certification in Indonesia and Ghana and identifies their implications on local and national food provision. As voluntary labels and certification schemes are an emerging category of global governance instruments, their role in food security, as a global public good, should be taken seriously and connected to political and scientific debates on their future involvement in realizing food security. Â© 2014 Elsevier B.V."	Global Food Security 3  220-226 DOI:10.1016/j.gfs.2014.09.006	Palm oil RSPO Unintended impacts Voluntary standar	"Oosterveer, 2014"	N/A	Ghana; Indonesia	"7.946500, -1.023200 ; -0.789300, 113.921300 "	Treecrop	Palm oil	Roundtable on Sustainable Palm Oil (RSPO); Marine Stewardship Council (MSC); GLOBALG.A.P	Smallholders	Small holders;Farmers	Producer	N/A	N/A	Matched	N/A	N/A	Control / RSPO/ MSC / GlobalGAP	N/A	Data Reported	No Data Reported	Data Reported	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	None
5463	"P_rez-Ramâ€™rez, M.; Castrejâ€”n, M.; Guti_rrez, N. L.; Defeo, O."	2015	"The Marine Stewardship Council certification in Latin America and the Caribbean: A review of experiences, potentials and pitfalls"	"The Marine Stewardship Council (MSC) certification program is a market-based instrument aimed at recognizing sustainable fishing practices. Although there are 10 MSC-certified fisheries in Latin American and the Caribbean (LAC), this proportion is low (4%) compared to the total number of certified fisheries globally. Therefore, implementation of MSC certification in LAC fisheries is examined by considering: (1) fishing industry drivers for certification and (2) certified fisheries performance against the MSC standard. The MSC certification was suitable for large multi-national enterprises with export-oriented markets and for small-scale fisheries with exclusive access rights harvesting high-value resources. Maintaining or increasing market-share was a main motivation to pursue certification. Most LAC certified fisheries showed high performance in terms of stock status, governance and management systems. However, the expansion of the MSC certification in LAC remains limited by: (1) intrinsic weaknesses of fisheries in the region (shortage of information and instability in governance systems); and (2) high costs associated to certification and extrinsic market conditions (price shocks and demand retractions). Innovative strategies to encourage the development of domestic certified seafood markets, and a major inclusiveness of small-scale fisheries with traditional management arrangements at the local level, could constitute significant steps toward a more sustainable pathway on a regional scale. Â© 2015 Elsevier B.V."	Fisheries Research 182  50-58 DOI:10.1016/j.fishres.2015.11.007	Environmental governance Fish trade MSC certificat	P_rez-Ramâ€™rez	N/A	Argentina; Chile; Mexico; Suriname	"-38.416100, -63.616700 ; -35.675100, -71.543000 ;  23.634500, -102.552800 ; 3.919300, -56.027800"	Fishing	Fish	Marine Stewardship Council (MSC)	Fisheries	Fisheries	Producer	Mixed methods	"MSC public certification reports, surveillance reports, external databases, scientific literature, personal communication with key informants (fishermen organisations representatives and fish industry managers)"	Pre-post	10	N/A	Control / MSC	ANOVA and Fishers LSD	Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported	N/A	N/A	Data Reported	Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
5557	"Jari, Bridget; Snowball, Jeanette D.; Fraser, Gavin C. G."	2013	Is Fairtrade in Commercial Farms Justifiable? Its Impact on Commercial and Small-Scale Producers in South Africa	"Fairtrade initially was limited to improving the lives of small-scale and peasant farmers, but later on it embraced commercial farmers, which attracted criticism. While there are a number of justifications for the Fairtrade organization's decision, there are authors who feel that meaningful ""fair trade"" cannot be achieved with the inclusion of commercial farms. This paper investigates the impact of Fairtrade on commercial farms and small-scale farmer cooperatives in South Africa. Fairtrade on South African commercial farms embraces a number of policy concerns related to land reform, BEE and sustainable development. The results of the study show that when commercial farms are included in the Fairtrade model, communities in which these farmers live benefit from developmental projects. In addition, in some instances, farm workers gain shares in the commercial farms, and benefit from the farm owners' knowledge and capital."	Agrekon 52  66-88 		"Jari, B. et al., 2013"	N/A	South Africa 	"-33.2278, 21.8569;-32.2968, 26.4194"	Mixed Farming	Fruit; Rooibos Tea; Wine /Grapes	Fair Trade; Rainforest Alliance	Farms; Co-operatives	Farms; Co-operatives	Producer	Interviews (freeform)	N/A	Pre-post	10	2	Control / FT	N/A	Data Reported	Data Reported	No Data Reported	Data Reported	Data Reported	N/A	Data Reported	N/A	Data Reported	Data Reported	Data Reported	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Comparisons in impacts / gains of certification given for small scale and commercial farmers.
5578	"Gliessman, S. R.; Werner, M. R.; Swezey, S. L.; Caswell, E.; Cochran, J.; Rosada-May, F."	1996	Conversion to organic strawberry management changes ecological processes	"A three-year comparison of conventional (guidelines recommended by UC Cooperative Extension) and organic (in accordance with the California Health and Safety Code Section 2659.11-.17 and the California Certified Organic Farmers guidelines and enforcement provisions) strawberry (cv. Chandler) production systems on the coast north of Santa Cruz was carried out during 1987-90 in a field where strawberries had not been grown before. Slower plant growth, lower yields and increased labour requirements were observed in the organic system. Little economically important pest damage, no nutrient deficiencies, an increase in naturally occurring predators and higher numbers of beneficial nematodes were also observed in the organic system. Although yields were significantly lower in the organic system in all three years, price premiums for organic fruits permitted favourable returns."	California Agriculture 50  24-31 DOI:10.3733/ca.v050n01p24	agricultural entomology arthropod pests biological	"Gilessman, 1996"	N/A	USA	"36.974100, -122.030800"	Fruit	Strawberry	Organic	Farms	Farms	Producer	Field experiments	N/A	Matched	1	1	Control / Organic	Percentages	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	None
5698	"Wegner, R.; Turco, P. H. N.; Bliska, F. M. de M."	2013	Organic agriculture: socioeconomic sustainability of Brazilian coffee	"Worldwide, there is a growing demand for products made by technologies that contribute to environmental preservation and to sustainable rural development. In Brazil, organic farming is one of the most established initiatives in this area. Therefore, it is important to subsidize the decision-making regarding policies for organic coffee production. Thereby, this study analyzed the socio-economic sustainability of this production system in relation to conventional. We applied a semi-structured questionnaire on coffee farms in the Brazilian coffee producers states and analyzed the coffee production cost structure. We identified the reasons that led the producers to organic management, implications of certification on the management, and prices received by organic coffee and the market mechanism. Results showed that there is no standard for organic coffee production and marketing in Brazil. Among the producers, there are different levels of access to technical information and the main limitation of the organic coffee chain is not the technology of production, but the difficulty of coffee marketing. Another important limitation, for medium and large farms, is the cost of manpower, mainly in areas dominated by mountain, where machines operations are not viable. Moreover, the yield of organic coffee system is generally lower than the conventional. Furthermore, soil and climatic differences lead to different regional behavior. Finally, we could conclude that the production of organic coffee can be sustainable in Brazil mainly in two structural conditions: (1) family farmers; and (2) small producers, who employ only one or two workers, preferably only in the harvest time."	Journal of Agricultural Science and Technology A 3  20-32 	certification coffee constraints crop production c	"Wegner, 2013"	N/A	Brazil	"-18.512200, -44.555000"	Coffee	Coffee	Organic	Smallholders; Farms	Farms	Producer	Mixed methods	"Household surveys, Interviews (freeform)"	Matched	24	5	Control / Organic	N/A	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
5736	"Belton, B.; Haque, M. M.; Little, D. C.; Le Xuan, Sinh"	2011	Certifying catfish in Vietnam and Bangladesh: who will make the grade and will it matter?	"Certification is an increasingly pervasive form of market governance through which retailers and NGOs are able to exert control over producers of primary products in order to secure their commercial and institutional interests. This paper assesses the likely outcomes of emerging certification standards intended to govern production of a new global commodity, Pangasius catfish. This evaluation focuses on Pangasius producers in Vietnam and Bangladesh, and one of the key areas which standards seek to regulate; the environment. We conclude that certification is likely to result in greater differentiation and polarisation between larger and smaller farm operators and will increasingly act to exclude of the latter from access to Western European and North American markets, and that any local environmental gains produced may be of relatively minor significance."	Food Policy 36  289-299 DOI:10.1016/j.foodpol.2010.11.027	aquatic animals aquatic organisms certification	"Belton, 2011"	"The authors would like to acknowledge the British Council Connect Research and Co-operation award for the project Promoting sustainable high quality river catfish seed production in Vietnam, and additional financial support from the Natural Re- sources Institute Foundation travel fellowship 2008, and a Carnegie Trust for the Universities of Scotland research grant, without which the research that informs this paper would not have been possible."	Bangladesh; Vietnam 	"23.685000, 90.356300 ; 14.058300, 108.277200"	Aquaculture	Fish	GLOBALG.A.P; Aquaculture certification council (ACC); Pangasius aquaculture dialogue (PAD)	Smallholders; Farms	Farms	Producer	N/A	N/A	Matched	N/A	N/A 	Control / GlobalGAP / ACC / PAD	N/A	No Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	Data Reported / Data Reported	N/A	Data Reported 	N/A	N/A	N/A	None
5987	"Shreck, A."	2002	Just bananas? Fair Trade banana production in the Dominican Republic	"In an effort to alter exploitative relations that characterize the conventional agro-food system, Fair Trade organizations are promoting an alternative system of certification and labeling for commodities such as coffee, cacao, and bananas that are grown under healthy social and environmental conditions. Labels then identify these products to conscientious consumers who are willing to pay more for them with the expectation that higher prices will deliver additional returns to producers. Yet, do these initiatives offer a real alternative and can they foster positive social change in the agro-food system? Drawing on fieldwork in the Dominican Republic, this paper addresses the implications of Fair Trade at the level of production. I focus on a case study of a certified banana producer group to suggest that production for the Fair Trade market can provide much needed material benefits, strengthen the producers' organization, and open up critical market access to Fair Trade partners. However, I also discuss important limits to the broader potential of Fair Trade initiatives for transforming trade relations. Fair Trade should not be ignored as an alternative mode of production or trade but, rather, a better understanding of how they are experienced by producers can help address the limits of the initiatives."	International Journal of Sociology of Agriculture and Food 10  13-23 	agricultural trade bananas case studies certificat	"Shreck, 2002"	N/A	Dominican Republic 	"18.7356, -70.1626"	Fruit	Banana	Fair Trade; Rainforest Alliance	Smallholders	Smallholders	Producer	Interviews (freeform)	N/A	Pre-post	39	N/A	Control / FT	N/A	Data Reported	Data Reported	No Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	None
6168	"Nasi, R.; Billand, A.; van Vliet, N."	2012	Managing for timber and biodiversity in the Congo Basin	"Multiple-use forest management is considered by many as a preferable alternative to single-use, generally timber-dominant, management models. In the Congo Basin rainforests, integration of timber and non-timber forest resources plays a key role in the subsistence and market economies of rural communities. This is however mainly occurring in "" ordinary"" forest lands and not in formally gazetted forest lands. In this paper we briefly explore the major land-uses in the Congo Basin and their actual or potential for multiple-use. We then focus on the most extant production system (industrial logging concessions) and analyze the existing issues and options for managing actively both timber and biodiversity with a special emphasis on wildlife and the role of certification. A few promising but yet 'unfinished' examples do exist in the region and we review these cases to draw lessons and recommendations. We contend however that true multiple-use could only be realized by expanding beyond boundaries of formal management units through new innovative land-use units, allowing a spatial cohabitation of the interests of local people, of conservation proponents and of extractive industries in the same management unit. Â© 2012 ."	Forest Ecology and Management 268  103-111 DOI:10.1016/j.foreco.2011.04.005	Certification Congo Basin Multiple-use management	"Nasi et al., 2012"	N/A	Cameroon; Gabon; Central African Republic; Democratic Republic of the Congo; Chad; Congo-Brazzaville	"3.8480, 11.5021;4.2634, 15.2429;0.4162, 9.4673;4.3947, 18.5582;4.4419, 15.2663"	Timber	Timber	Forest Stewardship Council (FSC); ISO 14001; Keurhout	Industrial logging concessions	Companies	Producer	N/A	N/A	Matched	15	293	Control / FSC / ISO 14001 / Keurhout	No analysis	No Data Reported	Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	N/A	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	"Primary focus of study is not to compare certified and non-certified logging companies, but instead focuses on timber management."
6267	"Werner, M. R."	1997	Soil quality characteristics during conversion to organic orchard management	"Soil quality measurements were made as part of a larger study of conversion to certified organic management in a California apple orchard, and results are reported here. The general objectives of the soil research were: (1) to compare soil properties between the two production systems (conventional and transitional organic); (2) relate observed differences to soil processes and management practices; and (3) determine the relative usefulness of each of the measured parameters as soil quality indicators. Bulk density and water holding capacity were useful indicators of changes in soil physical characteristics. Because treatment differences in bulk density were detected, biological and chemical data were expressed volumetrically to more closely approximate in-field values. EC, Ca, and Mg readings were used as an indication of the absence of significant salinity problems in both production systems. Soil pH in surface soils was mildly acidic, and values were slightly higher in the organic production system plots. Potentially mineralizable nitrogen and biomass carbon (C) were more sensitive indicators of system change than total N or organic C. Because microbial respiration was higher from organic plots on some sample dates. C loss via CO2 was evaluated against C inputs in the two systems. It was concluded that in both production systems, C inputs appear to outweigh C loss via microbial respiration, and therefore the potential for net organic matter loss is minimal. No significant treatment differences were seen in the respiratory ratio, or in the ratio of biomass C to total organic C. Increased colonization by mycorrhizal fungi seemed to provide an explanation for higher tissue P levels in the organic trees, and thus was an indicator of increased soil biological function in the organically managed plots. Soil invertebrates did not seem to be sensitive indicators of short-term responses to management changes in the current study, as no significant differences were seen during 1990-1991, the first 2 years of transition to organic management in the organic treatment plots. However, earthworm abundance and biomass increased significantly during 1992 in the organic plots, and seemed to provide an indication of long-term response to changes in weed, pest, and soil fertility management. Pitfall trap arthropods were too variable in abundance and diversity to discern any significant treatment effects with the sampling scheme used, and therefore these parameters were not useful indicators of soil quality changes. Â© 1997 Elsevier Science B.V."	Applied Soil Ecology 5  151-167 	Apples Bulk density Earthworms Electrical conducti	"Werner, 1997"	N/A	USA	"36.910200, -121.756900"	Fruit	Apple	Organic	Farms	Orchards	Producer	Field experiments	N/A	Matched	2	1	Control / Organic	Bulk density	No Data Reported	No Data Reported	Data Reported	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Data Reported	N/A	Data Reported	N/A	N/A	N/A	N/A	None
